60161	+
67664	-
89311	+
109886	+
141246	+
155331	-
155332	+
155334	+
156635	-
157671	+
177609	-
193461	+
193461	+
193494	-
194940	+
194947	-
195063	+
195616	+
195698	-
195735	+
196686	+
197617	+
197952	+
231902	-
231904	-
236151	+
258250	+
258260	-
267542	-
276494	+
280971	+
291704	-
291988	+
292256	-
292990	+
293414	-
293652	-
295106	+
295261	+
295302	+
295311	+
295318	-
304657	+
311813	-
313406	-
313410	-
320010	+
325260	-
335684	+
340893	+
341025	-
343545	+
343644	+
367797	-
367801	+
373427	+
373767	-
384065	+
384298	-
384518	+
389752	-
389754	-
389755	+
389755	+
389757	+
391032	+
392034	+
393425	+
397573	-
398972	+
401548	+
403090	-
403886	-
405308	+
408519	-
409278	+
409691	-
410094	-
410631	-
410735	-
411671	+
412435	-
412437	+
412535	+
413892	+
420275	-
424233	+
434659	+
435270	-
436689	+
437726	-
450031	-
454421	+
456452	-
459873	-
460350	-
470670	-
470791	+
470917	-
474523	-
475061	+
480343	+
480351	-
485764	+
488926	+
494320	+
495379	+
495751	+
497516	+
506864	-
508375	-
510758	+
510765	-
510771	-
511590	+
513174	-
513390	-
519715	-
524449	-
531491	+
532977	+
532984	-
535055	+
536469	-
536909	+
537201	-
537202	-
538304	+
538834	+
538839	-
542280	-
550216	-
550217	+
556227	-
556230	+
556233	+
559129	-
572733	+
573513	-
575845	-
576278	-
578347	-
579034	-
579890	-
579969	-
581957	-
582104	+
582105	-
582185	-
582495	-
584115	-
584551	-
584554	+
584554	+
584554	+
584556	+
585049	+
586661	+
588260	-
588820	-
588903	-
590818	-
591450	+
591452	+
593214	-
594816	-
595983	+
598069	-
598098	+
601941	-
604913	+
605047	-
607942	-
607942	-
608711	+
610093	+
614351	+
615061	-
617957	-
618247	+
623017	-
623130	-
624997	-
628369	-
630686	-
630775	-
632597	-
633564	-
634437	+
638819	+
638887	-
638890	+
643742	+
644052	+
644053	-
647412	+
649273	-
651057	-
652099	-
652103	-
657025	-
658227	-
659653	-
660209	+
674071	+
674137	+
676645	+
678150	-
679942	+
680186	+
686667	+
692003	+
694713	+
694728	-
695132	+
703362	-
705561	-
709261	+
709264	+
709655	+
710681	+
713488	-
716694	+
719770	-
719852	+
720263	-
724091	-
728350	+
734879	-
736377	-
741731	+
749237	-
749845	-
750902	-
750905	+
