12487506	-
13197538	+
31789760	-
40501514	-
27038065	-
30950820	-
16009485	-
41016235	+
43838934	+
40384501	-
19339847	-
39759348	+
17795138	-
19892318	+
21850945	+
27276752	-
40706977	-
29672708	+
39315061	+
27537114	-
39667168	-
25589437	+
41671018	+
44711507	+
19376185	-
15304614	+
39497548	-
23358309	+
27788487	-
30997654	-
26854734	-
26858921	+
25394299	+
13408832	+
19725957	+
30909206	-
26998179	-
21833481	-
37939694	-
14772087	-
44859113	+
13069334	+
16052416	-
12990103	+
15429200	+
39712194	+
27805282	-
22254061	+
12579788	-
14869962	-
26555759	-
29298531	+
31835235	+
24989498	-
27588196	+
27192554	+
14623457	-
18145168	-
31410853	-
32238440	+
34175126	-
38710305	-
15789428	+
31196347	+
14409647	+
23077537	-
41139384	+
19834094	+
25288998	-
38778666	+
16811846	+
19931897	+
27295226	-
40405138	+
15374424	-
37937473	-
26182338	-
22612997	-
18312314	+
26933793	+
42766174	-
12186453	-
42418184	-
12717138	-
40840390	+
20799349	+
24567401	+
25920030	-
18568375	-
32465181	-
43331071	+
34500435	+
40546777	+
14817548	-
13150297	+
17301952	-
22590551	-
29583229	+
38738880	-
29173544	-
33315360	+
39300585	+
20269138	+
22135642	+
25113351	+
21844123	+
28415398	+
15422071	-
19964323	-
28093913	-
16513009	-
23363716	-
13457659	+
23112594	-
22934463	-
44122142	-
43340023	+
18403432	+
22784984	-
44394340	+
31099843	-
34459418	+
17962333	+
21302475	+
31142938	-
12852707	-
13329697	+
34276230	+
15148940	-
21103362	+
22115967	-
24589471	+
25144593	+
33981521	-
42876758	+
44070198	-
25812297	-
20951708	-
31375821	-
24635002	+
14974653	-
12798588	+
16339461	-
17092893	+
17752779	-
22172020	-
17357857	+
13431273	+
14066524	-
40769074	-
31812145	-
34358506	+
42330331	-
40352361	-
21271152	+
32571687	+
32695721	-
38966360	-
22681454	-
21099862	+
27993323	-
39336101	-
19129987	-
40065920	-
42649222	+
30993869	-
17680279	+
43856718	-
16189177	+
17078411	-
22110848	+
25283813	-
31004198	+
39928952	+
33668015	+
23035749	+
40086220	-
13503011	+
33413161	-
31165387	-
31115172	-
21580666	-
41461967	-
43895666	+
42982868	+
13687896	-
30754897	-
43712066	-
27006875	+
30121368	+
13120246	+
13365196	-
24881495	-
41315553	-
12479827	-
14200917	+
24117954	+
34487564	-
20617051	+
24142443	+
26836365	-
31235596	-
34778251	-
42963244	-
13356092	-
43911121	+
31134408	+
30476131	+
34187035	+
38722304	+
17092982	+
30960564	-
19441752	-
38066642	+
40442861	-
40197149	+
17357443	-
31422744	-
44170495	+
12529744	+
15743457	+
31556231	+
16839472	-
14667362	+
20098952	+
21690608	+
15054253	-
23455741	-
12985731	+
22153613	+
24165634	+
24813577	+
26017946	-
39547397	+
40089518	-
41975660	+
40090739	+
15635046	+
23515108	-
26250164	+
19854501	-
32832146	+
27167419	-
42726297	-
40663107	-
25796281	-
21738179	+
25308193	-
31207085	-
22545949	+
44187574	+
26845181	+
32909330	+
34443176	-
13041427	-
16617701	-
20629510	-
26244967	-
40083019	+
42844713	+
25558146	-
29705458	+
12480925	-
20124488	-
30479754	-
40959235	-
12966201	+
34757536	-
29051575	-
31424997	-
34155268	+
38690222	+
41405905	+
42009560	-
42340026	+
34413465	+
28390560	+
30097781	-
13405399	-
13657641	+
17410580	-
40013810	-
21760811	+
42690496	+
31231121	+
41192534	+
20148082	+
32722410	-
18022047	+
27271487	-
27324242	-
33646220	+
40336990	-
34371542	-
38532688	+
43004012	-
13892720	+
31260337	+
31371273	+
40987342	+
17004489	+
20970604	-
32784521	-
33075488	+
15675706	-
18520904	+
23204894	-
27831952	+
13679161	+
21524156	+
38447624	+
14809966	+
25540569	-
22274351	+
17180872	+
40146775	+
42923092	+
14391315	+
28265499	+
43449564	+
24055302	-
27886174	+
17506185	-
29015543	+
16011520	+
19665038	-
16682533	-
20288593	+
43730950	-
30433651	-
39602266	+
26804702	-
18643447	-
12687216	-
13606047	-
14808411	+
29189680	-
31586015	-
32217975	-
14421730	+
24066592	+
33275002	+
27459334	-
28439303	-
33956494	-
13590677	+
22867549	-
23452109	-
12401916	+
14017200	+
12789996	+
32401680	+
18003987	-
43980989	+
26154663	-
34476276	-
42159895	-
32097727	+
40221671	-
40887018	-
23584837	+
27408100	+
16081490	+
21385294	+
25005537	+
30844265	-
25146889	-
17556698	+
14964222	+
17691240	+
